section,abbreviation,title_fr,title_en,in_nav,template,has_preload,parent_section
accessCode,ac_,Code d'accès,Access code,FALSE,FALSE,FALSE,home
home,h_,Domicile,Home,TRUE,FALSE,TRUE,
household,hh_,Ménage,Household,TRUE,FALSE,TRUE,
personsTrips,pt_,Déplacements,Trips introduction,TRUE,FALSE,TRUE,
selectPerson,sp_,Sélection du membre du ménage,Household member selection,FALSE,FALSE,TRUE,personsTrips
tripsIntro,ti_,Introduction aux déplacements,Trips introduction,FALSE,FALSE,TRUE,personsTrips
visitedPlaces,vp_,Déplacements,Déplacements,FALSE,FALSE,FALSE,personsTrips
segments,s_,Modes de transport,Modes of transport,FALSE,FALSE,FALSE,personsTrips
travelBehavior,tb_,Mobilité,Travel behavior,FALSE,FALSE,FALSE,personsTrips
omissions,o_,Oublis,Omissions,FALSE,FALSE,FALSE,end
longDistance,ld_,Déplacements longue distance,Long distance trips,FALSE,FALSE,FALSE,end
barriersDisability,barrd_,Barrières,Barriers,FALSE,FALSE,FALSE,end
selectFreqPerson,sfp_,Sélection du répondant aux fréquences,Frequencies respondent selection,FALSE,FALSE,FALSE,end
frequencies,freq_,Fréquences par mode,Mode frequencies,FALSE,FALSE,FALSE,end
attitudinal,att_,Questions attitudinales,Attitudinal questions,FALSE,FALSE,FALSE,end
barriers,barr_,Barrières,Barriers,FALSE,FALSE,FALSE,end
end,e_,Fin,End,TRUE,FALSE,FALSE,
completed,c_,Questionnaire complété,Survey completed,FALSE,FALSE,TRUE,end
